ID,Code,Scientific_Name,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source
1,Abi_Ama,Abies_amabilis,1,FEIS,5,FEIS
2,Abi_Bal,Abies_balsamea,1,FEIS,NA,NA
3,Abi_Con,Abies_concolor,1,FEIS,4,FEIS
4,Abi_Gra,Abies_grandis,1,FEIS,4,FEIS
5,Abi_Las,Abies_lasiocarpa,1,FEIS,2,FEIS
6,Abi_Mag,Abies_magnifica,1,FEIS,5,FEIS
7,Abi_Mag_mag,Abies_magnifica_magnifica,NA,NA,NA,NA
8,Abi_Mag_sha,Abies_magnifica_shastensis,NA,NA,NA,NA
9,Abi_Pro,Abies_procera,1,FEIS,5,FEIS
10,Abi_Spp,Abies_spp.,0,FEIS,NA,NA
11,Cal_Dec,Calocedrus_decurrens,1,FEIS,5,FEIS
12,Cha_Law,Chamaecyparis_lawsonia,1,FEIS,3,FEIS
13,Cha_Noo,Chamaecyparis_nootkatensis,1,FEIS,NA,NA
14,Cha_Thy,Chamaecyparis_thyoides,1,FEIS,NA,NA
15,Jun_Occ,Juniperus_occidentalis,1,FEIS,2,FEIS
16,Jun_Sco,Juniperus_scopulorum,1,FEIS,NA,NA
17,Jun_Spp,Juniperus_spp.,0,FEIS,NA,NA
18,Jun_Vir,Juniperus_virginiana,1,FEIS,NA,NA
19,Lar_Lar,Larix_laricina,1,FEIS,NA,NA
20,Lar_Lya,Larix_lyallii,0,FEIS,10,FEIS
21,Lar_Occ,Larix_occidentalis,1,FEIS,10,FEIS
22,Pic_Abi,Picea_abies,0,FEIS,NA,NA
23,Pic_Bre,Picea_breweriana,1,FEIS,2,FEIS
24,Pic_Eng,Picea_engelmannii,1,FEIS,2,FEIS
25,Pic_Gla,Picea_glauca,1,FEIS,NA,NA
26,Pic_Mar,Picea_mariana,4,FEIS,NA,NA
27,Pic_Rub,Picea_rubens,1,FEIS,NA,NA
28,Pic_Sit,Picea_sitchensis,1,FEIS,2,FEIS
29,Pic_Spp,Picea_spp.,NA,NA,NA,NA
30,Pin_Alb,Pinus_albicaulis,1,Schwilk&Ackerly,1,Schwilk&Ackerly
31,Pin_Att,Pinus_attenuata,10,Schwilk&Ackerly,1,Schwilk&Ackerly
32,Pin_Ban,Pinus_banksiana,10,Schwilk&Ackerly,2,Schwilk&Ackerly
33,Pin_Cla,Pinus_clausa,10,Schwilk&Ackerly,1,Schwilk&Ackerly
34,Pin_Con,Pinus_contorta,4,Schwilk&Ackerly,3,Schwilk&Ackerly
35,Pin_Con_bol,Pinus_contorta_bolanderi,NA,NA,NA,NA
36,Pin_Con_con,Pinus_contorta_contorta,4,Schwilk&Ackerly,3,Schwilk&Ackerly
37,Pin_Con_lat,Pinus_contorta_latifolia,7,Schwilk&Ackerly,3,Schwilk&Ackerly
38,Pin_Con_mur,Pinus_contorta_murrayana,1,Schwilk&Ackerly,3,Schwilk&Ackerly
39,Pin_Cou,Pinus_coulteri,3,Schwilk&Ackerly,1,Schwilk&Ackerly
40,Pin_Ech,Pinus_echinata,1,Schwilk&Ackerly,4,Schwilk&Ackerly
41,Pin_Edu,Pinus_edulis,1,Schwilk&Ackerly,1,Schwilk&Ackerly
42,Pin_Ell,Pinus_elliottii,1,Schwilk&Ackerly,5,Schwilk&Ackerly
43,Pin_Fle,Pinus_flexilis,1,Schwilk&Ackerly,2,Schwilk&Ackerly
44,Pin_Gla,Pinus_glabra,1,Schwilk&Ackerly,NA,NA
45,Pin_Jef,Pinus_jeffreyi,1,Schwilk&Ackerly,10,Schwilk&Ackerly
46,Pin_Lam,Pinus_lambertiana,1,Schwilk&Ackerly,10,Schwilk&Ackerly
47,Pin_Mon3,Pinus_monticola,1,Schwilk&Ackerly,6,Schwilk&Ackerly
48,Pin_Pal,Pinus_palustris,1,Schwilk&Ackerly,10,Schwilk&Ackerly
49,Pin_Pon,Pinus_ponderosa,1,Schwilk&Ackerly,10,Schwilk&Ackerly
50,Pin_Pon_bra,Pinus_ponderosa_brachyptera,0,Schwilk&Ackerly,NA,NA
51,Pin_Pon_cri,Pinus_ponderosa_critchfieldiana,1,Schwilk&Ackerly,10,Schwilk&Ackerly
52,Pin_Pon_pon,Pinus_ponderosa_ponderosa,0,Schwilk&Ackerly,NA,NA
53,Pin_Pon_sco,Pinus_ponderosa_scopulorum,0,Schwilk&Ackerly,NA,NA
54,Pin_Pun,Pinus_pungens,10,Schwilk&Ackerly,4,Schwilk&Ackerly
55,Pin_Rad,Pinus_radiata,10,Schwilk&Ackerly,2,Schwilk&Ackerly
56,Pin_Res,Pinus_resinosa,1,Schwilk&Ackerly,7,Schwilk&Ackerly
57,Pin_Rig,Pinus_rigida,10,Schwilk&Ackerly,3,Schwilk&Ackerly
58,Pin_Sab,Pinus_sabiniana,3,Schwilk&Ackerly,5,Schwilk&Ackerly
59,Pin_Ser,Pinus_serotina,10,Schwilk&Ackerly,1,Schwilk&Ackerly
60,Pin_Spp,Pinus_spp.,NA,NA,NA,NA
61,Pin_Str,Pinus_strobus,1,Schwilk&Ackerly,3,Schwilk&Ackerly
62,Pin_Syl,Pinus_sylvestris,0,Schwilk&Ackerly,NA,NA
63,Pin_Tae,Pinus_taeda,1,Schwilk&Ackerly,8,Schwilk&Ackerly
64,Pin_Vir,Pinus_virginiana,10,Schwilk&Ackerly,2,Schwilk&Ackerly
65,Pse_Men,Pseudotsuga_menziesii,1,FEIS,5,FEIS
66,Seq_Gig,Sequoiadendron_giganteum,5,FEIS,8,FEIS
67,Seq_Sem,Sequoia_sempervirens,1,FEIS,5,FEIS
68,Tax_Bre,Taxus_brevifolia,0,FEIS,NA,NA
69,Tax_Dis,Taxodium_distichum,0,FEIS,NA,NA
70,Thu_Occ,Thuja_occidentalis,0,FEIS,NA,NA
71,Thu_Pli,Thuja_plicata,1,FEIS,5,FEIS
