ID,Code,Scientific_Name,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source
1,Abi_Ama,Abies_amabilis,1,1.1938,FVS FFE,24.9,FVS FFE,4.0,FVS FFE,7.0,FVS FFE
2,Abi_Bal,Abies_balsamea,1,0.7874,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,8.0,FVS FFE
3,Abi_Con,Abies_concolor,1,1.2192,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,7.0,FVS FFE
4,Abi_Gra,Abies_grandis,1,1.1683999999999999,FVS FFE,21.8,FVS FFE,4.0,FVS FFE,7.0,FVS FFE
5,Abi_Las,Abies_lasiocarpa,1,1.0413999999999999,FVS FFE,19.3,FVS FFE,4.0,FVS FFE,7.0,FVS FFE
6,Abi_Mag,Abies_magnifica,1,0.9905999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,7.0,FVS FFE
7,Abi_Mag_mag,Abies_magnifica_magnifica,1,0.9905999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,7.0,FVS FFE
8,Abi_Mag_sha,Abies_magnifica_shastensis,1,0.9905999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,7.0,FVS FFE
9,Abi_Pro,Abies_procera,1,1.1429999999999998,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,7.0,FVS FFE
10,Abi_Spp,Abies_spp.,1,1.3208,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,8.0,FVS FFE
11,Cal_Dec,Calocedrus_decurrens,1,1.7906999999999997,FVS FFE,21.8,FVS FFE,2.0,FVS FFE,5.0,FVS FFE
12,Cha_Law,Chamaecyparis_lawsonia,1,2.0574,FVS FFE,24.3,FVS FFE,2.0,FVS FFE,4.0,FVS FFE
13,Cha_Noo,Chamaecyparis_nootkatensis,1,0.5588,FVS FFE,26.2,FVS FFE,2.0,FVS FFE,5.0,FVS FFE
14,Cha_Tho,Chamaecyparis_thoides,1,0.635,FVS FFE,19.3,FVS FFE,2.0,FVS FFE,3.0,FVS FFE
15,Jun_Occ,Juniperus_occidentalis,1,0.635,FVS FFE,34.9,FVS FFE,2.0,FVS FFE,4.0,FVS FFE
16,Jun_Sco,Juniperus_scopulorum,1,0.635,FVS FFE,34.9,FVS FFE,2.0,FVS FFE,4.0,FVS FFE
17,Jun_Spp,Juniperus_spp.,1,0.9016999999999998,FVS FFE,27.4,FVS FFE,2.0,FVS FFE,5.0,FVS FFE
18,Jun_Vir,Juniperus_virginiana,1,0.9652,FVS FFE,27.4,FVS FFE,2.0,FVS FFE,5.0,FVS FFE
19,Lar_Lar,Larix_laricina,1,0.7874,FVS FFE,30.6,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
20,Lar_Lya,Larix_lyallii,1,1.27,FVS FFE,29.9,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
21,Lar_Occ,Larix_occidentalis,1,1.6001999999999998,FVS FFE,29.9,FVS FFE,3.0,FVS FFE,1.0,FVS FFE
22,Pic_Abi,Picea_abies,1,0.7366,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,8.0,FVS FFE
