Scientific_Name,Code,bt,ph,sp,fh,pc,fd,bt.pct,ph.pct,sp.pct,fd.pct
Abies_amabilis,Abi_Ama,1.1938,51.27,5,38.4,32,79.8,0.42372881355932207,0.4748237907630797,0.4444444444444444,0.9020507885018026
Abies_concolor,Abi_Con,1.2192,46.307692,4,22.86,44.54,97.28571429,0.440677966101695,0.4154531740394845,0.3333333333333333,0.811431109814593
Abies_grandis,Abi_Gra,1.1684,59.425,4,15.14,14.17,88.85714286,0.4067796610169493,0.5723927807131028,0.3333333333333333,0.8551121640804519
Abies_lasiocarpa,Abi_Las,1.0414,27.410506,2,16.7,25.6,79.8,0.32203389830508483,0.1893612855149329,0.1111111111111111,0.9020507885018026
Abies_magnifica,Abi_Mag,0.9906,46.785714,5,18,32.14,101.7142857,0.28813559322033905,0.42117237989036,0.4444444444444444,0.7884800475038543
Abies_procera,Abi_Pro,1.143,55.1228,5,14.57,22.76,101.4285714,0.38983050847457634,0.5209199041265928,0.4444444444444444,0.7899607612815664
Calocedrus_decurrens,Cal_Dec,1.524,48.083333,5,25.29,46.64,105,0.6440677966101696,0.436697502535358,0.4444444444444444,0.7714518398375394
Chamaecyparis_lawsonia,Cha_Law,2.0574,50,6,21.71,31.37,115.5714286,1,0.45962911053787686,0.5555555555555556,0.7166654326534392
Chamaecyparis_nootkatensis,Cha_Noo,0.5588,35.4375,6,48,65.69,134.1428571,0,0.28539877134140695,0.5555555555555556,0.6204190422846483
Juniperus_occidentalis,Jun_Occ,0.635,15.871334,2,25.71,47.88,107.7142857,0.050847457627118675,0.05130299527586623,0.1111111111111111,0.7573850597266487
Juniperus_scopulorum,Jun_Sco,0.8382,11.583333,2,32.43,55.28,117.8571429,0.1864406779661017,0,0.1111111111111111,0.704819722949992
Larix_occidentalis,Lar_Occ,1.6002,51.095238,9,27.86,34.59,89.85714286,0.6949152542372883,0.4727328831209404,0.8888888888888888,0.8499296661175844
Picea_engelmannii,Pic_Eng,0.9144,37.193,2,17.14,28.68,122.8571429,0.23728813559322037,0.30640212656608695,0.1111111111111111,0.678907233135654
Picea_glauca,Pic_Gla,0.635,16.256154,2,16,29.14,102.2857143,0.050847457627118675,0.055907103027254074,0.1111111111111111,0.7855186199484301
Picea_sitchensis,Pic_Sit,0.6858,27.081022,2,10,13.7,60.9,0.08474576271186442,0.1854192351060189,0.1111111111111111,1
Pinus_albicaulis,Pin_Alb,0.762,17.585765,1,48.42857143,63.4,182.8571429,0.13559322033898308,0.07181498804214557,0,0.36795735536359875
Pinus_contorta,Pin_Con,0.7112,26.055556,3,58.14285714333333,79.86666666666666,101.18095238666666,0.10169491525423735,0.17315023671876073,0.2222222222222222,0.7912440463137338
Pinus_edulis,Pin_Edu,0.8128,13.53,1,40,62.2,253.8571429,0.16949152542372883,0.02329053745665747,0,0
Pinus_flexilis,Pin_Fle,0.762,17.142857,2,55.28571429,71.7,154.5714286,0.13559322033898308,0.06651589715302421,0.1111111111111111,0.5145480121016034
Pinus_jeffreyi,Pin_Jef,1.7272,51.416667,10,67.3,90,79.2,0.7796610169491527,0.4765785609714181,1,0.9051602872795231
Pinus_lambertiana,Pin_Lam,1.8288,62.285714,10,55.6,77.1,128.5,0.8474576271186441,0.6066192645286627,1,0.6496631377101512
Pinus_monticola,Pin_Mon3,0.889,62.133333,6,75.14,82.78,90.29,0.2203389830508475,0.6047961302236259,0.5555555555555556,0.8476863848713215
Pinus_ponderosa,Pin_Pon,1.6002,41.229048,10,77,92,79.7,0.6949152542372883,0.35469067675,1,0.9025690382980893
Pseudotsuga_menziesii,Pse_Men,1.6002,54.256194,5,26.2,26.6,105.8,0.6949152542372883,0.5105515568421501,0.4444444444444444,0.7673058414672453
Sequoia_sempervirens,Seq_Sem,2.0574,95.165217,5,59.4,86.1,73.4,1,1,0.4444444444444444,0.9352187754641551
Sequoiadendron_giganteum,Seq_Gig,2.0574,85.578947,8,42.6,75.8,148.5,1,0.885306844722476,0.7777777777777778,0.5460131784527994
Thuja_plicata,Thu_Pli,0.889,51.191667,5,42.4,45.7,113.2,0.2203389830508475,0.47388659006537825,0.4444444444444444,0.7289553565420251
Tsuga_heterophylla,Tsu_Het,1.016,48.126984,4,24.6,18.8,68.4,0.30508474576271194,0.43721975685544484,0.3333333333333333,0.961131265278493
Tsuga_mertensiana,Tsu_Mer,1.016,25,5,15.43,27.95,118,0.30508474576271194,0.1605212320890015,0.4444444444444444,0.7040793663202607
