# FOFEM Species File - Updated DCL Feb. 16 2017
# This file is used in conjunction with the FOFEM tree mortality option
#
# Mort = Pre-Fire mortality equation number
# Brk  = Bark Equation
# Reg  = Region
#          Interior West   1
#          Pacific West    2
#          North East      3
#          South East      4
# Crn  = Crown Coefficient code used to calculate stand canopy cover
# PF   = Post-Fire mortality equation code. See Note-1 below.
# P    = A "P" in this column will cause the species to be displayed
#        in only the list of post-fire mortality equations
#
# Note-1: Ponderosa pine and Jeffrey pine have two post-fire mortality
#         equations. Equation code "PP" corresponds to the mortality
#         equation that uses crown volume scorched and equation code
#        "PK" corresponds to the mortality equation that uses
#         crown volume killed (bud kill). Species codes for ponderosa 
#        pine and Jeffrey pine that end in "K" are assigned to the
#         equations that use crown volume killed (bud kill) in the
#         mortality equation. E.g. PIPOK and PIJEK use crown kill
# 	  to estimate mortality.
#
#,Species,Name,Mort,Brk,Reg-1,Reg-2,Reg-3,Reg-4,Crn,PF,P
0,ABAM,Abies amabilis -- Pacific silver fir,1,26,,2,,,1,, 
1,ABBA,Abies balsamea -- Balsam fir,1,10,1,,3,4,2,, 
2,ABBAB,Abies balsamea -- Balsam fir,1,10,1,,3,4,2,, 
3,ABBAP,Abies balsamea -- Balsam fir,1,10,1,,3,4,2,, 
4,ABLAL,Abies balsamea -- Balsam fir,1,10,1,,3,4,2,, 
5,ABCO,Abies concolor -- White fir,10,27,1,2,,,2,WF, 
6,ABCOC,Abies concolor -- White fir,10,27,1,2,,,2,WF, 
7,ABLO,Abies lowiana -- Sierra white fir,10,27,1,2,,,2,WF, 
8,ABGR,Abies grandis -- Grand fir,11,25,1,2,,,3,SF, 
9,ABGRI2,Abies grandis -- Grand fir,11,25,1,2,,,3,SF, 
10,ABGRG,Abies grandis -- Grand fir,11,25,1,2,,,3,SF, 
11,ABGRI,Abies grandis -- Grand fir,11,25,1,2,,,3,SF, 
12,ABGRJ,Abies grandis -- Grand fir,11,25,1,2,,,3,SF, 
13,ABLA,Abies lasiocarpa -- Subalpine fir,11,20,1,2,,,4,SF, 
14,ABLAA,Abies lasiocarpa -- Corkbark fir,11,20,1,2,,,4,SF, 
15,ABLAL,Abies lasiocarpa -- Subalpine fir,11,20,1,2,,,4,SF, 
16,ABMA,Abies magnifica -- Red Fir,16,18,1,2,,,5,RF, 
17,ABMAM,Abies magnifica -- California red fir,16,36,1,2,,,5,RF, 
18,ABMAS,Abies magnifica -- Shasta red fir,16,36,1,2,,,5,RF, 
19,ABMAC,Abies magnifica -- Shasta red fir,16,36,1,2,,,5,RF, 
20,ABMAS2,Abies magnifica -- Shasta red fir,16,36,1,2,,,5,RF, 
21,ABNO,Abies nobilis -- Noble Fir,1,24,,2,,,7,, 
22,ABPR,Abies procera -- Noble Fir,1,24,,2,,,7,, 
23,ABISPP,Abies species -- Firs,1,30,,,3,4,2,, 
24,ACBA3,Acer barbatum -- Southern sugar maple,1,8,,,,4,21,, 
25,ACBAL,Acer barbatum -- Southern sugar maple,1,8,,,,4,21,, 
26,ACBAV,Acer barbatum -- Southern sugar maple,1,8,,,,4,21,, 
27,ACLE,Acer leucoderme -- Chalk maple,1,8,,,,4,21,, 
28,ACMA3,Acer macrophyllum -- Bigleaf maple,1,3,,2,,,21,, 
29,ACNE2,Acer negundo -- Boxelder,1,13,,,3,4,21,, 
30,ACNEA,Acer negundo -- Arizona boxelder,1,13,,,3,4,21,, 
31,ACNEC2,Acer negundo -- California boxelder,1,13,,,3,4,21,, 
32,ACNEC,Acer negundo -- California boxelder,1,13,,,3,4,21,, 
33,ACNE12,Acer negundo -- Boxelder,1,13,,,3,4,21,, 
34,ACNEI,Acer negundo -- Boxelder,1,13,,,3,4,21,, 
35,ACNEN,Acer negundo -- Boxelder,1,13,,,3,4,21,, 
36,ACNEV2,Acer negundo -- Boxelder,1,13,,,3,4,21,, 
37,ACNET,Acer negundo -- Boxelder,1,13,,,3,4,21,, 
38,ACNEL,Acer negundo -- Boxelder,1,13,,,3,4,21,, 
39,ACNEV,Acer negundo -- Boxelder,1,13,,,3,4,21,, 
40,ACNI5,Acer nigrum -- Black maple,1,14,,,3,4,21,, 
41,ACNIP,Acer nigrum -- Black maple,1,14,,,3,4,21,, 
42,ACPE,Acer pensylvanicum -- Striped maple,1,24,,,3,4,21,, 
43,ACRU,Acer rubrum -- Red maple,1,7,,,3,4,21,, 
44,ACRUD,Acer rubrum -- Drummond's maple,1,7,,,3,4,21,, 
45,ACRUD2,Acer rubrum -- Drummond's maple,1,7,,,3,4,21,, 
46,ACRUR,Acer rubrum -- Red maple,1,7,,,3,4,21,, 
47,ACRUT2,Acer rubrum -- Red maple,1,7,,,3,4,21,, 
48,ACRUT,Acer rubrum -- Red maple,1,7,,,3,4,21,, 
49,ACRUT3,Acer rubrum -- Red maple,1,7,,,3,4,21,, 
50,ACSA2,Acer saccharinum -- Silver maple,1,10,,,3,4,21,, 
51,ACSAL3,Acer saccharinum -- Silver maple,1,10,,,3,4,21,, 
52,ACSAW,Acer saccharinum -- Silver maple,1,10,,,3,4,21,, 
53,ACSA3,Acer saccharum -- Sugar maple,1,12,,,3,4,21,, 
54,ACSAS,Acer saccharum -- Sugar maple,1,12,,,3,4,21,, 
55,ACSAG,Acer saccharum -- Sugar maple,1,12,,,3,4,21,, 
56,ACSAR,Acer saccharum -- Sugar maple,1,12,,,3,4,21,, 
57,ACSAS2,Acer saccharum -- Sugar maple,1,12,,,3,4,21,, 
58,ACSAO,Acer saccharum -- Sugar maple,1,12,,,3,4,21,, 
59,ACSAS4,Acer saccharum -- Sugar maple,1,12,,,3,4,21,, 
60,ACSP2,Acer spicatum -- Mountain maple,1,19,,,3,,21,, 
61,ACESPP,Acer species -- Maples,1,8,,,3,4,21,, 
62,AEGL,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
63,AEGLA,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
64,AEGLB,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
65,AEGLG,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
66,AEGLL,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
67,AEGLM,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
68,AEGLM2,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
69,AEGLP,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
70,AEGLS,Aesculus glabra -- Ohio buckeye,1,15,,,3,4,39,, 
71,AEFL,Aesculus flava -- Yellow buckeye,1,29,,,3,4,39,, 
72,AEOC2,Aesculus octandra -- Yellow buckeye,1,29,,,3,4,39,, 
73,AIAL,Ailanthus altissima -- Ailanthus,1,29,,,3,4,39,, 
74,ALRH2,Alnus rhombifolia -- White alder,1,1,,2,,,23,, 
75,ALRHB,Alnus rhombifolia -- White alder,1,1,,2,,,23,, 
