Scientific_Name,ID,Code,CA_ID,CodeNum,Generic,Subsp,Western,California,Gymno,In.FFE,Bark.Thickness.25.4,Bark.Thickness.Source,Wood.density,Wood.density.Source,Decay.class,Decay.class.Source,Leaf.longevity,Leaf.longevity.Source,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source,Serotiny,Serotiny.Source,Self.pruning,Self.pruning.Source,Flame_duration,Flame_duration.Source,Flame_ht,Flame_ht.Source,Pct_consumed,Pct_consumed.Source,Smolder_duration,Smolder_duration.Source
Abies_amabilis,1,Abi_Ama,1,11,0,0.0,1,1,1,1,1.1938,FVS FFE,24.9,FVS FFE,4.0,FVS FFE,7.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,12.0,TRY,NA,NA,NA,NA,0.2,TRY,51.27,TRY,497.5,TRY,39.7,TRY,345.713333,TRY,0.42,TRY,0.22680882,TRY,1,FEIS,5,FEIS,79.8,Fonda et al. 1998 Northwest Sci,38.4,Fonda et al. 1998 Northwest Sci,32.0,Fonda et al. 1998 Northwest Sci,84.8,Fonda et al. 1998 Northwest Sci
Abies_balsamea,2,Abi_Bal,NA,12,0,0.0,0,0,1,1,0.7874,FVS FFE,20.6,FVS FFE,4.0,FVS FFE,8.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,10.166667,TRY,7.777778,TRY,NA,NA,0.175,TRY,19.64,TRY,200.0,TRY,8.9,TRY,6.0,TRY,0.41,TRY,0.45333333,TRY,1,FEIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abies_concolor,3,Abi_Con,2,15,0,0.0,1,1,1,1,1.2192,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,7.0,FVS FFE,100.05,TRY,NA,NA,41.8475,TRY,NA,NA,NA,NA,NA,NA,0.5965,TRY,0.2076364,TRY,46.307692,TRY,320.0,TRY,36.2,TRY,7.089218,TRY,0.4,TRY,0.975,TRY,1,FEIS,4,FEIS,NA,NA,NA,NA,NA,NA,NA,NA
Abies_fraseri,225,Abi_Fra,NA,16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abies_grandis,4,Abi_Gra,3,17,0,0.0,1,1,1,1,1.1683999999999999,FVS FFE,21.8,FVS FFE,4.0,FVS FFE,7.0,FVS FFE,150.0,TRY,NA,NA,NA,NA,36.0,TRY,14.8,TRY,13.272727,TRY,NA,NA,2.75,TRY,59.425,TRY,297.14286,TRY,24.7,TRY,11.725,TRY,0.42,TRY,1.02,TRY,1,FEIS,4,FEIS,NA,NA,NA,NA,NA,NA,NA,NA
Abies_lasiocarpa,5,Abi_Las,4,19,0,0.0,1,1,1,1,1.0413999999999999,FVS FFE,19.3,FVS FFE,4.0,FVS FFE,7.0,FVS FFE,NA,NA,NA,NA,NA,NA,96.0,TRY,10.3,TRY,NA,NA,NA,NA,0.175,TRY,27.410506,TRY,262.5,TRY,8.02,TRY,3.93,TRY,0.32,TRY,0.55,TRY,1,FEIS,2,FEIS,79.8,Fonda et al. 1998 Northwest Sci,16.7,Fonda et al. 1998 Northwest Sci,25.6,Fonda et al. 1998 Northwest Sci,91.8,Fonda et al. 1998 Northwest Sci
Abies_magnifica,6,Abi_Mag,5,20,0,0.5,1,1,1,1,0.9905999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,7.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,TRY,46.785714,TRY,385.0,TRY,118.0,TRY,NA,NA,0.42,TRY,0.76,TRY,1,FEIS,5,FEIS,NA,NA,NA,NA,NA,NA,NA,NA
Abies_magnifica_magnifica,7,Abi_Mag_mag,6,NA,0,1.0,1,NA,1,1,0.9905999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,7.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abies_magnifica_shastensis,8,Abi_Mag_sha,7,NA,0,1.0,1,NA,1,1,0.9905999999999999,FVS FFE,22.5,FVS FFE,4.0,FVS FFE,7.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abies_procera,9,Abi_Pro,8,22,0,0.0,1,1,1,1,1.1429999999999998,FVS FFE,23.1,FVS FFE,4.0,FVS FFE,7.0,FVS FFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,TRY,55.1228,TRY,566.66667,TRY,32.4,TRY,17.26,TRY,0.4,TRY,0.99,TRY,1,FEIS,5,FEIS,NA,NA,NA,NA,NA,NA,NA,NA
