ID,Code,Scientific_Name,Leaf.area,Leaf.area.Source,Leaf.CN,Leaf.CN.Source,Leaf.length,Leaf.length.Source,Leaf.lifespan,Leaf.lifespan.Source,Leaf.N,Leaf.N.Source,Leaf.NP,Leaf.NP.Source,Leaf.thickness,Leaf.thickness.Source,Leaf.width,Leaf.width.Source,Plant.height,Plant.height.Source,Plant.lifespan,Plant.lifespan.Source,Seed.dry.mass,Seed.dry.mass.Source,SLA,SLA.Source,SSD,SSD.Source,Stem.diameter,Stem.diameter.Source
1,Abi_Ama,Abies_amabilis,NA,NA,NA,NA,NA,NA,NA,NA,12,TRY,NA,NA,NA,NA,0.2,TRY,51.27,TRY,497.5,TRY,39.7,TRY,345.713333,TRY,0.42,TRY,0.22680882,TRY
2,Abi_Bal,Abies_balsamea,NA,NA,NA,NA,NA,NA,NA,NA,10.166667,TRY,7.777778,TRY,NA,NA,0.175,TRY,19.64,TRY,200,TRY,8.9,TRY,6,TRY,0.41,TRY,0.45333333,TRY
3,Abi_Con,Abies_concolor,100.05,TRY,NA,NA,41.8475,TRY,NA,NA,NA,NA,NA,NA,0.5965,TRY,0.2076364,TRY,46.307692,TRY,320,TRY,36.2,TRY,7.089218,TRY,0.4,TRY,0.975,TRY
4,Abi_Gra,Abies_grandis,150,TRY,NA,NA,NA,NA,36,TRY,14.8,TRY,13.272727,TRY,NA,NA,2.75,TRY,59.425,TRY,297.14286,TRY,24.7,TRY,11.725,TRY,0.42,TRY,1.02,TRY
5,Abi_Las,Abies_lasiocarpa,NA,NA,NA,NA,NA,NA,96,TRY,10.3,TRY,NA,NA,NA,NA,0.175,TRY,27.410506,TRY,262.5,TRY,8.02,TRY,3.93,TRY,0.32,TRY,0.55,TRY
6,Abi_Mag,Abies_magnifica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,TRY,46.785714,TRY,385,TRY,118,TRY,NA,NA,0.42,TRY,0.76,TRY
7,Abi_Mag_mag,Abies_magnifica_magnifica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Abi_Mag_sha,Abies_magnifica_shastensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Abi_Pro,Abies_procera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,TRY,55.1228,TRY,566.66667,TRY,32.4,TRY,17.26,TRY,0.4,TRY,0.99,TRY
10,Abi_Spp,Abies_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Cal_Dec,Calocedrus_decurrens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.083333,TRY,556,TRY,36.7,TRY,NA,NA,NA,NA,2,TRY
12,Cha_Law,Chamaecyparis_lawsonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,TRY,NA,NA,2,TRY,NA,NA,NA,NA,NA,NA
13,Cha_Noo,Chamaecyparis_nootkatensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4375,TRY,2560,TRY,2.59,TRY,NA,NA,0.46,TRY,1.16666667,TRY
14,Cha_Thy,Chamaecyparis_thyoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Jun_Occ,Juniperus_occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.871334,TRY,1833.33333,TRY,41.5,TRY,NA,NA,NA,NA,0.6,TRY
16,Jun_Sco,Juniperus_scopulorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.583333,TRY,1470,TRY,17.1,TRY,NA,NA,NA,NA,0.375,TRY
17,Jun_Spp,Juniperus_spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Jun_Vir,Juniperus_virginiana,54.38889,TRY,NA,NA,11.72778,TRY,NA,NA,NA,NA,NA,NA,NA,NA,0.085,TRY,13.911111,TRY,375,TRY,10.4,TRY,1.578088,TRY,0.49,TRY,0.45,TRY
19,Lar_Lar,Larix_laricina,NA,NA,30.5,TRY,NA,NA,6,TRY,15.468834,TRY,8.9012,TRY,4,TRY,0.3575,TRY,9.186885,TRY,218.125,TRY,1.44,TRY,12.993887,TRY,0.57,TRY,0.03321494,TRY
20,Lar_Lya,Larix_lyallii,NA,NA,24.56667,TRY,NA,NA,NA,NA,19.31,TRY,NA,NA,5,TRY,0.335,TRY,19.190476,TRY,677.77778,TRY,3.53,TRY,11.185,TRY,NA,NA,0.7,TRY
21,Lar_Occ,Larix_occidentalis,NA,NA,29.7,TRY,NA,NA,NA,NA,16.565556,TRY,NA,NA,5,TRY,0.06,TRY,51.095238,TRY,800,TRY,3.12,TRY,9.959,TRY,0.535,TRY,1.11666667,TRY
22,Pic_Abi,Picea_abies,NA,NA,43.45,TRY,NA,NA,NA,NA,12.457274,TRY,12.823529,TRY,NA,NA,NA,NA,25.844201,TRY,445.83333,TRY,6.28,TRY,6.317425,TRY,0.3607471,TRY,1.00092059,TRY
23,Pic_Bre,Picea_breweriana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.585714,TRY,900,TRY,7.41,TRY,NA,NA,NA,NA,0.975,TRY
24,Pic_Eng,Picea_engelmannii,27.4923,TRY,NA,NA,NA,NA,90,TRY,10.3,TRY,NA,NA,NA,NA,NA,NA,37.193,TRY,550,TRY,2.86,TRY,3.289066,TRY,0.35,TRY,0.53,TRY
25,Pic_Gla,Picea_glauca,NA,NA,40.3,TRY,NA,NA,60,TRY,13.078701,TRY,4.063908,TRY,NA,NA,0.1,TRY,16.256154,TRY,516.66667,TRY,2.03,TRY,33.509827,TRY,0.45,TRY,0.83333333,TRY
26,Pic_Mar,Picea_mariana,251.50073,TRY,41.3,TRY,NA,NA,120,TRY,13.610928,TRY,13.039432,TRY,NA,NA,0.1,TRY,4.201215,TRY,242,TRY,1.37,TRY,4.876995,TRY,0.43,TRY,0.09392198,TRY
