Scientific_Name,bt,ph,sp,fh,pc,fd,,bt.pct,ph.pct,sp.pct,fh_pc.pct,fd.pct,frs
Sequoia sempervirens,2.06,95.2,5,59.4,86.1,73.4,,1,1,0.44,0.85,0.87,0.83
Pinus jeffreyi,1.73,51.4,10,67.3,90,79.2,,0.78,0.48,1,0.93,0.82,0.8
Pinus ponderosa,1.6,41.2,10,77,92,79.7,,0.69,0.35,1,1,0.81,0.77
Pinus lambertiana,1.83,62.3,10,55.6,77.1,128.5,,0.85,0.61,1,0.76,0.48,0.74
Sequoiadendron giganteum,2.06,85.6,8,42.6,75.8,148.5,,1,0.89,0.78,0.67,0.38,0.74
Larix occidentalis,1.6,51.1,9,27.9,34.6,89.9,,0.69,0.47,0.89,0.27,0.73,0.61
Pinus monticola,0.89,62.1,6,75.1,82.8,90.3,,0.22,0.6,0.56,0.92,0.72,0.6
Chamaecyparis lawsonia,2.06,50,6,21.7,31.4,115.6,,1,0.46,0.56,0.21,0.55,0.55
Calocedrus decurrens,1.52,48.1,5,25.3,46.6,105,,0.64,0.44,0.44,0.34,0.62,0.5
Abies amabilis,1.19,51.3,5,38.4,32,79.8,,0.42,0.47,0.44,0.31,0.81,0.49
Pseudotsuga menziesii,1.6,54.3,5,26.2,26.6,105.8,,0.69,0.51,0.44,0.2,0.61,0.49
Abies concolor,1.22,46.3,4,22.9,44.5,97.3,,0.44,0.42,0.33,0.31,0.67,0.43
Thuja plicata,0.89,51.2,5,42.4,45.7,113.2,,0.22,0.47,0.44,0.44,0.57,0.43
Abies grandis,1.17,59.4,4,15.1,14.2,88.9,,0.41,0.57,0.33,0.03,0.74,0.42
Abies procera,1.14,55.1,5,14.6,22.8,101.4,,0.39,0.52,0.44,0.1,0.64,0.42
Tsuga heterophylla,1.02,48.1,4,24.6,18.8,68.4,,0.31,0.44,0.33,0.13,0.92,0.42
Abies magnifica,0.99,46.8,5,18,32.1,101.7,,0.29,0.42,0.44,0.19,0.64,0.4
Pinus contorta,0.71,26.1,3,58.1,79.9,101.2,,0.1,0.17,0.22,0.79,0.64,0.39
Chamaecyparis nootkatensis,0.56,35.4,6,48,65.7,134.1,,0,0.29,0.56,0.63,0.45,0.38
Tsuga mertensiana,1.02,25,5,15.4,27.9,118,,0.31,0.16,0.44,0.14,0.54,0.32
Abies lasiocarpa,1.04,27.4,2,16.7,25.6,79.8,,0.32,0.19,0.11,0.13,0.81,0.31
Picea sitchensis,0.69,27.1,2,10,13.7,60.9,,0.08,0.19,0.11,0,1,0.28
Pinus flexilis,0.76,17.1,2,55.3,71.7,154.6,,0.14,0.07,0.11,0.71,0.35,0.28
Juniperus scopulorum,0.84,11.6,2,32.4,55.3,117.9,,0.19,0,0.11,0.45,0.54,0.26
Picea engelmannii,0.91,37.2,2,17.1,28.7,122.9,,0.24,0.31,0.11,0.16,0.51,0.26
Juniperus occidentalis,0.64,15.9,2,25.7,47.9,107.7,,0.05,0.05,0.11,0.36,0.6,0.23
Pinus albicaulis,0.76,17.6,1,48.4,63.4,182.9,,0.14,0.07,0,0.61,0.23,0.21
Picea glauca,0.64,16.3,2,16,29.1,102.3,,0.05,0.06,0.11,0.15,0.64,0.2
Pinus edulis,0.81,13.5,1,40,62.2,253.9,,0.17,0.02,0,0.55,0,0.15
