Common name,Scientific name,spp code
fir spp.,Abies spp.,10
Pacific silver fir,Abies amabilis,11
balsam fir,Abies balsamea,12
white fir,Abies concolor,15
Fraser fir,Abies fraseri,16
grand fir,Abies grandis,17
subalpine fir,Abies lasiocarpa,19
California red fir,Abies magnifica,20
Shasta red fir,Abies shastensis,21
noble fir,Abies procera,22
Port-Orford-cedar,Chamaecyparis lawsoniana,41
Alaska yellow-cedar,Chamaecyparis nootkatensis,42
Atlantic white-cedar,Chamaecyparis thyoides,43
redcedar/juniper spp.,Juniperus spp.,57
Pinchot juniper,Juniperus pinchotii,58
redberry juniper,Juniperus coahuilensis,59
Drooping juniper,Juniperus flaccida,60
Ashe juniper,Juniperus ashei,61
alligator juniper,Juniperus deppeana,63
western juniper,Juniperus occidentalis,64
Utah juniper,Juniperus osteosperma,65
Rocky Mountain juniper,Juniperus scopulorum,66
southern redcedar,Juniperus virginiana,67
eastern redcedar,Juniperus virginiana,68
oneseed juniper,Juniperus monosperma,69
larch spp.,Larix spp.,70
tamarack (native),Larix laricina,71
western larch,Larix occidentalis,73
incense-cedar,Calocedrus decurrens,81
spruce spp.,Picea spp.,90
Norway spruce,Picea abies,91
Engelmann spruce,Picea engelmannii,93
white spruce,Picea glauca,94
black spruce,Picea mariana,95
blue spruce,Picea pungens,96
red spruce,Picea rubens,97
Sitka spruce,Picea sitchensis,98
pine spp.,Pinus spp.,100
whitebark pine,Pinus albicaulis,101
jack pine,Pinus banksiana,105
common or two-needle pinyon,Pinus edulis,106
sand pine,Pinus clausa,107
lodgepole pine,Pinus contorta,108
shortleaf pine,Pinus echinata,110
slash pine,Pinus elliottii,111
limber pine,Pinus flexilis,113
spruce pine,Pinus glabra,115
Jeffrey pine,Pinus jeffreyi,116
sugar pine,Pinus lambertiana,117
western white pine,Pinus monticola,119
longleaf pine,Pinus palustris,121
ponderosa pine,Pinus ponderosa,122
Table Mountain pine,Pinus pungens,123
red pine,Pinus resinosa,125
pitch pine,Pinus rigida,126
pond pine,Pinus serotina,128
eastern white pine,Pinus strobus,129
Scotch pine,Pinus sylvestris,130
loblolly pine,Pinus taeda,131
Virginia pine,Pinus virginiana,132
singleleaf pinyon,Pinus monophylla,133
Austrian pine,Pinus nigra,136
Mexican pinyon pine,Pinus cembroides,140
Papershell pinyon pine,Pinus remota,141
Douglas-fir,Pseudotsuga menziesii,202
redwood,Sequoia sempervirens,211
giant sequoia,Sequoiadendron giganteum,212
baldcypress,Taxodium distichum,221
pondcypress,Taxodium ascendens,222
northern white-cedar,Thuja occidentalis,241
western redcedar,Thuja plicata,242
hemlock spp.,Tsuga spp.,260
eastern hemlock,Tsuga canadensis,261
Carolina hemlock,Tsuga caroliniana,262
western hemlock,Tsuga heterophylla,263
mountain hemlock,Tsuga mertensiana,264
Unknown dead conifer,Tree evergreen,299
sweet acacia,Acacia farnesiana,303
maple spp.,Acer spp.,310
Florida maple,Acer barbatum,311
bigleaf maple,Acer macrophyllum,312
boxelder,Acer negundo,313
black maple,Acer nigrum,314
striped maple,Acer pensylvanicum,315
red maple,Acer rubrum,316
silver maple,Acer saccharinum,317
sugar maple,Acer saccharum,318
mountain maple,Acer spicatum,319
Norway maple,Acer platanoides,320
Rocky Mountain maple,Acer glabrum,321
chalk maple,Acer leucoderme,323
"buckeye, horsechestnut spp.",Aesculus spp.,330
Ohio buckeye,Aesculus glabra,331
yellow buckeye,Aesculus flava,332
California buckeye,Aesculus californica,333
Texas buckeye,Aesculus glabra,334
painted buckeye,Aesculus sylvatica,337
ailanthus,Ailanthus altissima,341
"mimosa, silktree",Albizia julibrissin,345
alder spp.,Alnus spp.,350
red alder,Alnus rubra,351
European alder,Alnus glutinosa,355
serviceberry spp.,Amelanchier spp.,356
common serviceberry,Amelanchier arborea,357
roundleaf serviceberry,Amelanchier sanguinea,358
Pacific madrone,Arbutus menziesii,361
Texas madrone,Arbutus xalapensis,363
pawpaw,Asimina triloba,367
birch spp.,Betula spp.,370
yellow birch,Betula alleghaniensis,371
sweet birch,Betula lenta,372
river birch,Betula nigra,373
paper birch,Betula papyrifera,375
gray birch,Betula populifolia,379
"chittamwood, gum bumelia",Sideroxylon lanuginosum,381
"American hornbeam, musclewood",Carpinus caroliniana,391
hickory spp.,Carya spp.,400
water hickory,Carya aquatica,401
bitternut hickory,Carya cordiformis,402
pignut hickory,Carya glabra,403
pecan,Carya illinoinensis,404
shellbark hickory,Carya laciniosa,405
nutmeg hickory,Carya myristiciformis,406
shagbark hickory,Carya ovata,407
black hickory,Carya texana,408
mockernut hickory,Carya alba,409
sand hickory,Carya pallida,410
red hickory,Carya ovalis,412
southern shagbark hickory,Carya carolinae-septentrionalis,413
chestnut spp.,Castanea spp.,420
American chestnut,Castanea dentata,421
Allegheny chinkapin,Castanea pumila,422
Ozark chinkapin,Castanea pumila,423
Chinese chestnut,Castanea mollissima,424
catalpa spp.,Catalpa spp.,450
southern catalpa,Catalpa bignonioides,451
northern catalpa,Catalpa speciosa,452
hackberry spp.,Celtis spp.,460
sugarberry,Celtis laevigata,461
hackberry,Celtis occidentalis,462
netleaf hackberry,Celtis laevigata,463
eastern redbud,Cercis canadensis,471
yellowwood,Cladrastis kentukea,481
flowering dogwood,Cornus florida,491
hawthorn spp.,Crataegus spp.,500
cockspur hawthorn,Crataegus crus-galli,501
downy hawthorn,Crataegus mollis,502
eucalyptus spp.,Eucalyptus spp.,510
grand eucalyptus,Eucalyptus grandis,513
persimmon spp.,Diospyros spp.,520
common persimmon,Diospyros virginiana,521
Texas persimmon,Diospyros texana,522
Anacua knockaway,Ehretia anacua,523
American beech,Fagus grandifolia,531
ash spp.,Fraxinus spp.,540
white ash,Fraxinus americana,541
Oregon ash,Fraxinus latifolia,542
black ash,Fraxinus nigra,543
green ash,Fraxinus pennsylvanica,544
pumpkin ash,Fraxinus profunda,545
blue ash,Fraxinus quadrangulata,546
Carolina ash,Fraxinus caroliniana,548
Texas ash,Fraxinus texensis,549
honeylocust spp.,Gleditsia spp.,550
waterlocust,Gleditsia aquatica,551
honeylocust,Gleditsia triacanthos,552
loblolly-bay,Gordonia lasianthus,555
"ginkgo, maidenhair tree",Ginkgo biloba,561
Kentucky coffeetree,Gymnocladus dioicus,571
silverbell spp.,Halesia spp.,580
Carolina silverbell,Halesia carolina,581
two-wing silverbell,Halesia diptera,582
American holly,Ilex opaca,591
walnut spp.,Juglans spp.,600
butternut,Juglans cinerea,601
black walnut,Juglans nigra,602
